,ARI,,,,,
50_random_AKBKQKDK_0.2,0.911190884,,,,,
50_vector_ABKQKDK_0.1,0.562603409,,,,,
50_mini-em_AKBKQKDK_0.05,0.54907041,,,,,
50_kmeans_AKJBKQKDK_0.2,1,,,,,
51_random_AKBKQKDK_0.2,0.897730633,,,,,
51_vector_ABKQKDK_0.2,0.56541606,,,,,
51_mini-em_AKBKQKDK_0.1,0.550321821,,,,,
51_kmeans_AKJBQKDK_0.2,1,,,,,
52_random_AKBKQKDK_0.2,0.894575548,,,,,
52_vector_AKJBQKDK_0.2,0.996995489,,,,,
52_mini-em_AKBKQKDK_0.1,0.547153476,,,,,
52_kmeans_AKJBKQKDK_0.2,0.996995489,,,,,
53_random_AKBKQKDK_0.2,0.903085161,,,,,
53_vector_AKJBKQKDK_0.2,1,,,,,
53_mini-em_AKBKQKDK_0.1,0.547088126,,,,,
53_kmeans_AKJBKQKDK_0.2,1,,,,,
54_random_AKJBKQKDK_0.2,0.911190884,,,,,
54_vector_AKJBQKDK_0.2,1,,,,,
54_mini-em_AKBKQKDK_0.2,0.547235163,,,,,
54_kmeans_AKJBQKDK_0.2,1,,,,,
55_random_AKJBKQKDK_0.2,0.933235699,,,,,
55_vector_ABKQKDK_0.1,0.563425556,,,,,
55_mini-em_AKJBKQKDK_0.2,0.933235699,,,,,
55_kmeans_AKJBKQKDK_0.2,1,,,,,
56_random_AKBKQKDK_0.2,0.905777233,,,,,
56_vector_AKJBKQKDK_0.2,1,,,,,
56_mini-em_AKBKQKDK_0.2,0.548774788,,,,,
56_kmeans_AKJBKQKDK_0.2,1,,,,,
57_random_AKJBKQKDK_0.2,0.919384803,,,,,
57_vector_ABKQKDK_0.05,0.563249595,,,,,
57_mini-em_AKBKQKDK_0.1,0.548667294,,,,,
57_kmeans_AKJBQKDK_0.2,1,,,,,
58_random_ABKQKDK_0.2,0.565036377,,,,,
58_vector_ABKQKDK_0.05,0.560648415,,,,,
58_mini-em_AKBKQKDK_0.1,0.551079215,,,,,
58_kmeans_AKJBKQKDK_0.2,1,,,,,
59_random_AKBKQKDK_0.2,0.908479147,,,,,
59_vector_ABKQKDK_0.05,0.562077897,,,,,
59_mini-em_AKBKQKDK_0.2,0.548406656,,,,,
59_kmeans_AKJBKQKDK_0.2,1,,,,,
60_random_AKBKQKDK_0.2,0.879302927,,,,,
60_vector_AKJBQKDK_0.2,1,,,,,
60_mini-em_AKJBKQKDK_0.2,0.542291756,,,,,
60_kmeans_AKJBQKDK_0.2,1,,,,,
61_random_AKJBKQKDK_0.1,0.887140623,,,,,
61_vector_ABKQKDK_0.05,0.562603409,,,,,
