,CCR,ARI,,Random Perfect CCR,Random Perfect ARI,Random Perfect Both
kmeans_AKBQKDK_0.6,0.333333333,1,,,,
kmeans_ABKQKDK_0.01,0.333333333,1,,,,
kmeans_ABKQKDK_0.1,0,1,,,,
kmeans_ABKQKDK_0.2,0.333333333,1,,,,
kmeans_ABKQKDK_0.3,0,1,,,,
kmeans_ABKQKDK_0.4,1,1,,,,
kmeans_ABKQKDK_0.5,0,1,,,,
kmeans_ABKQKDK_0.6,0.333333333,1,,,,
kmeans_ABQKDK_0.01,0.333333333,1,,,,
kmeans_ABQKDK_0.1,0,1,,,,
kmeans_ABQKDK_0.2,0,1,,,,
kmeans_ABQKDK_0.3,0,1,,,,
kmeans_ABQKDK_0.4,0,1,,,,
kmeans_ABQKDK_0.5,0,1,,,,
kmeans_ABQKDK_0.6,0,1,,,,
