"","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","W.12","W.13","W.14","W.15","W.16","W.17","W.18","W.19","W.20","W.21","W.22","W.23","W.24","W.25","W.26","W.27","W.28","W.29","W.30","W.31","W.32","W.33","W.34","W.35","W.36","W.37","W.38","W.39","W.40","W.41","W.42","W.43","W.44","W.45","W.46","W.47","W.48","W.49","W.50","W_m.1","W_m.2","W_m.3","W_m.4","W_m.5","W_m.6","W_m.7","W_m.8","W_m.9","W_m.10","W_m.11","W_m.12","W_m.13","W_m.14","W_m.15","W_m.16","W_m.17","W_m.18","W_m.19","W_m.20","W_m.21","W_m.22","W_m.23","W_m.24","W_m.25","W_m.26","W_m.27","W_m.28","W_m.29","W_m.30","W_m.31","W_m.32","W_m.33","W_m.34","W_m.35","W_m.36","W_m.37","W_m.38","W_m.39","W_m.40","W_m.41","W_m.42","W_m.43","W_m.44","W_m.45","W_m.46","W_m.47","W_m.48","W_m.49","W_m.50","dety"
"11",0,0,0,0,0,0,0,0.000192938218882055,0.0227371774798183,0.22556936453837,0.457677874597445,0.225555403141674,0.0227448564408084,0.000186936009654522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561815333275013,0.374621927093529,0.0402602338331887,0.000332735684810894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"12",0,0,0,0,0,0,0,0,0.000186616522987078,0.0227182390505067,0.225555403141674,0.45744933231536,0.225622865912278,0.0227001303545472,0.000186936009654524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561684551303755,0.374813530465346,0.0401924536088618,0.000332813158596968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"13",0,0,0,0,0,0,0,0,0,0.000188919434793288,0.0227448564408084,0.225622865912278,0.457555455833584,0.225622865912278,0.0227448564408084,0.000188919434793288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561648710186899,0.374869185385537,0.0402744868021189,0.000336365830396765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"14",0,0,0,0,0,0,0,0,0,0,0.000186936009654522,0.0227001303545472,0.225622865912278,0.45744933231536,0.225555403141674,0.0227182390505067,0.000186616522987077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561521933786746,0.374774963972873,0.0402337727278421,0.000332340576134911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"15",0,0,0,0,0,0,0,0,0,0,0,0.000186936009654524,0.0227448564408084,0.225555403141674,0.457677874597445,0.22556936453837,0.0227371774798183,0.000192938218882055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561782391967569,0.374659672253939,0.0402515722736927,0.000343439420032931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"16",0,0,0,0,0,0,0,0,0,0,0,0,0.000188919434793288,0.0227182390505067,0.22556936453837,0.457494701366106,0.225581274085305,0.0227151667731713,0.00018862512862337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5616991737067,0.374733080886173,0.0402110149523142,0.000335811654089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186616522987077,0.0227371774798183,0.225581274085305,0.457598636682968,0.225554551472101,0.0227344950784217,0.000195262703452705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561741448757133,0.374678298072001,0.0402474401572278,0.000347602449284682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192938218882055,0.0227151667731713,0.225554551472101,0.457668393787995,0.225483081700544,0.0227344950784218,0.000188625128623372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561842970115079,0.374463590690015,0.0402323374797913,0.000335725707460106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018862512862337,0.0227344950784217,0.225483081700544,0.457668393787995,0.225554551472101,0.0227151667731712,0.000192938218882053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561983490706675,0.374521706223299,0.0401959311844968,0.000343316524546726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000195262703452705,0.0227344950784218,0.225554551472101,0.457598636682969,0.225581274085306,0.0227371774798183,0.00018661652298708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561883765955208,0.374656701403386,0.0402371439773412,0.00033212656121116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91936694264397e-30
