"","bic","icl","cls.1","cls.2","cls.3","conv"
"41",-23662.1611690507,-23647.3672614054,34,32,34,93
"42",-23662.1611690507,-23647.3672614054,37,40,23,93
"43",-23662.1611690507,-23647.3672614054,25,31,44,93
"44",-23662.1611690507,-23647.3672614054,20,35,45,93
"45",-23662.1611690507,-23647.3672614054,37,40,23,93
"46",-23662.1611690507,-23647.3672614054,31,34,35,93
"47",-23662.1611690507,-23647.3672614054,26,29,45,93
"48",-23662.1611690507,-23647.3672614054,33,32,35,93
"49",-23662.1611690507,-23647.3672614054,37,40,23,93
"50",-23662.1611690507,-23647.3672614054,25,30,45,93
"51",-23662.1611690507,-23647.3672614054,28,37,35,93
"52",-23662.1611690507,-23647.3672614054,37,40,23,93
"53",-23662.1611690507,-23647.3672614054,33,34,33,93
"54",-23662.1611690507,-23647.3672614054,39,34,27,93
"55",-23662.1611690507,-23647.3672614054,35,35,30,93
"56",-23662.1611690507,-23647.3672614054,34,30,36,93
"57",-23662.1611690507,-23647.3672614054,35,29,36,93
"58",-23662.1611690507,-23647.3672614054,29,27,44,93
"59",-23662.1611690507,-23647.3672614054,39,29,32,93
"60",-23662.1611690507,-23647.3672614054,33,34,33,93
"61",-23662.1611690507,-23647.3672614054,33,32,35,93
"62",-23662.1611690507,-23647.3672614054,31,30,39,93
"63",-23662.1611690507,-23647.3672614054,32,35,33,93
"64",-23662.1611690507,-23647.3672614054,32,29,39,93
"65",-23662.1611690507,-23647.3672614054,30,33,37,93
"66",-23662.1611690507,-23647.3672614054,33,32,35,93
"67",-23662.1611690507,-23647.3672614054,37,40,23,93
"68",-23662.1611690507,-23647.3672614054,37,40,23,93
"69",-23662.1611690507,-23647.3672614054,32,32,36,93
"70",-23662.1611690507,-23647.3672614054,25,31,44,93
"71",-23662.1611690507,-23647.3672614054,25,32,43,93
"72",-23662.1611690507,-23647.3672614054,29,31,40,93
"73",-23662.1611690507,-23647.3672614054,31,31,38,93
"74",-23662.1611690507,-23647.3672614054,34,33,33,93
"75",-23662.1611690507,-23647.3672614054,32,35,33,93
"76",-23662.1611690507,-23647.3672614054,36,33,31,93
"77",-23662.1611690507,-23647.3672614054,28,28,44,93
"78",-23662.1611690507,-23647.3672614054,27,31,42,93
"79",-23662.1611690507,-23647.3672614054,26,30,44,93
"80",-23662.1611690507,-23647.3672614054,34,33,33,93
"81",-23662.1611690507,-23647.3672614054,32,32,36,93
"82",-23662.1611690507,-23647.3672614054,37,40,23,93
"83",-23662.1611690507,-23647.3672614054,36,31,33,93
"84",-23662.1611690507,-23647.3672614054,27,29,44,93
"85",-23662.1611690507,-23647.3672614054,25,30,45,93
"86",-23662.1611690507,-23647.3672614054,34,35,31,93
"87",-23662.1611690507,-23647.3672614054,37,32,31,93
"88",-23662.1611690507,-23647.3672614054,23,30,47,93
"89",-23662.1611690507,-23647.3672614054,37,39,24,93
"90",-23662.1611690507,-23647.3672614054,37,40,23,93
"91",-23662.1611690507,-23647.3672614054,30,29,41,93
"92",-23662.1611690507,-23647.3672614054,26,31,43,93
"93",-23662.1611690507,-23647.3672614054,25,30,45,93
"94",-23662.1611690507,-23647.3672614054,37,31,32,93
"95",-23662.1611690507,-23647.3672614054,29,28,43,93
"96",-23662.1611690507,-23647.3672614054,33,33,34,93
"97",-23662.1611690507,-23647.3672614054,37,40,23,93
"98",-23662.1611690507,-23647.3672614054,23,31,46,93
"99",-23662.1611690507,-23647.3672614054,25,29,46,93
"100",-23662.1611690507,-23647.3672614054,37,40,23,93
"101",-23662.1611690507,-23647.3672614054,34,32,34,93
"102",-23662.1611690507,-23647.3672614054,37,32,31,93
"103",-23662.1611690507,-23647.3672614054,37,40,23,93
"104",-23662.1611690507,-23647.3672614054,34,33,33,93
"105",-23662.1611690507,-23647.3672614054,34,35,31,93
"106",-23662.1611690507,-23647.3672614054,39,34,27,93
"107",-23662.1611690507,-23647.3672614054,35,41,24,93
"108",-23662.1611690507,-23647.3672614054,31,32,37,93
"109",-23662.1611690507,-23647.3672614054,40,37,23,93
"110",-23662.1611690507,-23647.3672614054,30,31,39,93
"111",-23662.1611690507,-23647.3672614054,26,33,41,93
"112",-23662.1611690507,-23647.3672614054,26,32,42,93
"113",-23662.1611690507,-23647.3672614054,31,33,36,93
"114",-23662.1611690507,-23647.3672614054,30,31,39,93
"115",-23662.1611690507,-23647.3672614054,36,41,23,93
