"","bic","icl","cls.1","cls.2","cls.3","conv"
"49",-23653.4482720091,-23639.4740585216,100,0,0,89
"50",-23653.4482720091,-23639.4740585216,0,99,1,89
"51",-23653.4482720091,-23639.4740585216,15,48,37,89
"52",-23653.4482720091,-23639.4740585216,100,0,0,89
"53",-23653.4482720091,-23639.4740585216,99,0,1,89
"54",-23653.4482720091,-23639.4740585216,96,0,4,89
"55",-23653.4482720091,-23639.4740585216,100,0,0,89
"56",-23653.4482720091,-23639.4740585216,99,0,1,89
"57",-23653.4482720091,-23639.4740585216,69,23,8,89
"58",-23653.4482720091,-23639.4740585216,0,100,0,89
"59",-23653.4482720091,-23639.4740585216,57,32,11,89
"60",-23653.4482720091,-23639.4740585216,75,15,10,89
"61",-23653.4482720091,-23639.4740585216,100,0,0,89
"62",-23653.4482720091,-23639.4740585216,63,37,0,89
"63",-23653.4482720091,-23639.4740585216,74,23,3,89
"64",-23653.4482720091,-23639.4740585216,0,100,0,89
"65",-23653.4482720091,-23639.4740585216,69,28,3,89
"66",-23653.4482720091,-23639.4740585216,90,3,7,89
"67",-23653.4482720091,-23639.4740585216,100,0,0,89
"68",-23653.4482720091,-23639.4740585216,100,0,0,89
"69",-23653.4482720091,-23639.4740585216,96,3,1,89
"70",-23653.4482720091,-23639.4740585216,0,100,0,89
"71",-23653.4482720091,-23639.4740585216,0,47,53,89
"72",-23653.4482720091,-23639.4740585216,0,35,65,89
"73",-23653.4482720091,-23639.4740585216,100,0,0,89
"74",-23653.4482720091,-23639.4740585216,95,3,2,89
"75",-23653.4482720091,-23639.4740585216,89,3,8,89
"76",-23653.4482720091,-23639.4740585216,100,0,0,89
"77",-23653.4482720091,-23639.4740585216,0,100,0,89
"78",-23653.4482720091,-23639.4740585216,0,35,65,89
"79",-23653.4482720091,-23639.4740585216,100,0,0,89
"80",-23653.4482720091,-23639.4740585216,96,3,1,89
"81",-23653.4482720091,-23639.4740585216,89,3,8,89
"82",-23653.4482720091,-23639.4740585216,100,0,0,89
"83",-23653.4482720091,-23639.4740585216,60,31,9,89
"84",-23653.4482720091,-23639.4740585216,44,54,2,89
"85",-23653.4482720091,-23639.4740585216,0,100,0,89
"86",-23653.4482720091,-23639.4740585216,93,3,4,89
"87",-23653.4482720091,-23639.4740585216,100,0,0,89
"88",-23653.4482720091,-23639.4740585216,100,0,0,89
"89",-23653.4482720091,-23639.4740585216,100,0,0,89
"90",-23653.4482720091,-23639.4740585216,100,0,0,89
"91",-23653.4482720091,-23639.4740585216,0,100,0,89
"92",-23653.4482720091,-23639.4740585216,0,37,63,89
"93",-23653.4482720091,-23639.4740585216,23,61,16,89
"94",-23653.4482720091,-23639.4740585216,100,0,0,89
"95",-23653.4482720091,-23639.4740585216,58,40,2,89
"96",-23653.4482720091,-23639.4740585216,90,3,7,89
"97",-23653.4482720091,-23639.4740585216,100,0,0,89
"98",-23653.4482720091,-23639.4740585216,0,92,8,89
"99",-23653.4482720091,-23639.4740585216,0,95,5,89
"100",-23653.4482720091,-23639.4740585216,100,0,0,89
"101",-23653.4482720091,-23639.4740585216,96,3,1,89
"102",-23653.4482720091,-23639.4740585216,100,0,0,89
"103",-23653.4482720091,-23639.4740585216,100,0,0,89
"104",-23653.4482720091,-23639.4740585216,31,58,11,89
"105",-23653.4482720091,-23639.4740585216,31,51,18,89
"106",-23653.4482720091,-23639.4740585216,100,0,0,89
"107",-23653.4482720091,-23639.4740585216,100,0,0,89
"108",-23653.4482720091,-23639.4740585216,39,60,1,89
"109",-23653.4482720091,-23639.4740585216,100,0,0,89
"110",-23653.4482720091,-23639.4740585216,0,68,32,89
"111",-23653.4482720091,-23639.4740585216,0,35,65,89
"112",-23653.4482720091,-23639.4740585216,0,100,0,89
"113",-23653.4482720091,-23639.4740585216,96,4,0,89
"114",-23653.4482720091,-23639.4740585216,24,58,18,89
"115",-23653.4482720091,-23639.4740585216,100,0,0,89
